ImageSet,File,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
iaps,2091.jpg, 0.082, 0.102, 0.468, 0.387, 0.381, 0.342
iaps,2092.jpg, 0.238, 0.356, 0.704, 0.290, 0.530, 0.277
iaps,2095.jpg, 0.038, 0.127, 0.438, 0.405, 0.225, 0.253
iaps,2100.jpg, 0.277, 0.392, 0.343, 0.429, 0.169, 0.299
iaps,2101.jpg, 0.154, 0.240, 0.373, 0.169, 0.672, 0.228
iaps,2102.jpg, 0.159, 0.213, 0.344, 0.290, 0.573, 0.306
iaps,2104.jpg, 0.466, 0.323, 0.199, 0.199, 0.724, 0.313
iaps,2107.jpg, 0.197, 0.207, 0.481, 0.220, 0.401, 0.255
iaps,2110.jpg, 0.233, 0.347, 0.362, 0.439, 0.127, 0.259
iaps,2115.jpg, 0.322, 0.334, 0.525, 0.311, 0.500, 0.341
iaps,2120.jpg, 0.215, 0.216, 0.580, 0.342, 0.253, 0.325
iaps,2122.jpg, 0.376, 0.411, 0.301, 0.222, 0.489, 0.238
iaps,2130.jpg, 0.040, 0.126, 0.131, 0.283, 0.123, 0.269
iaps,2141.jpg, 0.173, 0.130, 0.243, 0.263, 0.667, 0.415
iaps,2150.jpg, 0.124, 0.145, 0.778, 0.127, 0.668, 0.310
iaps,2151.jpg, 0.451, 0.168, 0.474, 0.264, 0.710, 0.126
iaps,2152.jpg, 0.069, 0.044, 0.294, 0.191, 0.699, 0.135
iaps,2153.jpg, 0.097, 0.201, 0.231, 0.263, 0.283, 0.291
iaps,2154.jpg, 0.089, 0.221, 0.323, 0.376, 0.354, 0.377
iaps,2155.jpg, 0.087, 0.220, 0.167, 0.232, 0.278, 0.311
iaps,2156.jpg, 0.365, 0.235, 0.350, 0.246, 0.519, 0.347
iaps,2158.jpg, 0.266, 0.239, 0.392, 0.308, 0.562, 0.281
iaps,2160.jpg, 0.398, 0.456, 0.519, 0.229, 0.315, 0.358
iaps,2165.jpg, 0.097, 0.091, 0.537, 0.350, 0.632, 0.278
iaps,2170.jpg, 0.112, 0.189, 0.602, 0.320, 0.182, 0.188
iaps,2190.jpg, 0.707, 0.318, 0.349, 0.143, 0.298, 0.288
iaps,2191.jpg, 0.222, 0.263, 0.500, 0.165, 0.398, 0.256
iaps,2200.jpg, 0.224, 0.371, 0.744, 0.370, 0.335, 0.336
iaps,2205.jpg, 0.331, 0.342, 0.667, 0.316, 0.360, 0.324
iaps,2206.jpg, 0.324, 0.293, 0.271, 0.251, 0.750, 0.290
iaps,2208.jpg, 0.170, 0.112, 0.766, 0.263, 0.391, 0.324
