ImageSet,File,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
iaps,8496.jpg, 0.158, 0.254, 0.167, 0.257, 0.310, 0.320
iaps,8497.jpg, 0.154, 0.201, 0.294, 0.210, 0.540, 0.227
iaps,8499.jpg, 0.396, 0.330, 0.426, 0.268, 0.436, 0.314
iaps,8500.jpg, 0.084, 0.056, 0.742, 0.122, 0.535, 0.272
iaps,8501.jpg, 0.133, 0.028, 0.406, 0.167, 0.721, 0.203
iaps,8502.jpg, 0.092, 0.076, 0.339, 0.247, 0.532, 0.336
iaps,8503.jpg, 0.279, 0.083, 0.674, 0.398, 0.298, 0.318
iaps,8510.jpg, 0.178, 0.221, 0.466, 0.372, 0.351, 0.280
iaps,8531.jpg, 0.560, 0.145, 0.842, 0.194, 0.121, 0.136
iaps,8540.jpg, 0.498, 0.208, 0.316, 0.226, 0.742, 0.189
iaps,8600.jpg, 0.237, 0.257, 0.600, 0.381, 0.374, 0.284
iaps,8620.jpg, 0.093, 0.221, 0.692, 0.171, 0.592, 0.275
iaps,9000.jpg, 0.357, 0.211, 0.577, 0.389, 0.213, 0.292
iaps,9001.jpg, 0.352, 0.358, 0.283, 0.295, 0.382, 0.304
iaps,9002.jpg, 0.469, 0.346, 0.311, 0.304, 0.604, 0.273
iaps,9005.jpg, 0.096, 0.083, 0.689, 0.093, 0.634, 0.163
iaps,9006.jpg, 0.121, 0.154, 0.440, 0.187, 0.693, 0.243
iaps,9007.jpg, 0.123, 0.264, 0.306, 0.362, 0.296, 0.376
iaps,9008.jpg, 0.161, 0.171, 0.465, 0.331, 0.507, 0.297
iaps,9010.jpg, 0.469, 0.155, 0.275, 0.290, 0.483, 0.302
iaps,9031.jpg, 0.248, 0.331, 0.457, 0.282, 0.579, 0.245
iaps,9040.jpg, 0.248, 0.241, 0.707, 0.190, 0.767, 0.227
iaps,9041.jpg, 0.441, 0.262, 0.176, 0.129, 0.656, 0.307
iaps,9042.jpg, 0.393, 0.434, 0.377, 0.188, 0.580, 0.290
iaps,9043.jpg, 0.079, 0.124, 0.531, 0.154, 0.849, 0.176
iaps,9045.jpg, 0.097, 0.223, 0.372, 0.366, 0.332, 0.398
iaps,9046.jpg, 0.107, 0.089, 0.420, 0.322, 0.308, 0.329
iaps,9050.jpg, 0.265, 0.246, 0.312, 0.301, 0.516, 0.388
iaps,9070.jpg, 0.310, 0.341, 0.499, 0.354, 0.291, 0.246
iaps,9075.jpg, 0.086, 0.116, 0.353, 0.138, 0.620, 0.238
iaps,9080.jpg, 0.354, 0.278, 0.407, 0.345, 0.247, 0.294
iaps,9090.jpg, 0.286, 0.115, 0.370, 0.274, 0.708, 0.289
iaps,9101.jpg, 0.634, 0.064, 0.557, 0.120, 0.225, 0.181
iaps,9102.jpg, 0.082, 0.157, 0.260, 0.285, 0.235, 0.285
iaps,9110.jpg, 0.204, 0.147, 0.504, 0.269, 0.397, 0.278
iaps,9120.jpg, 0.471, 0.361, 0.691, 0.369, 0.214, 0.301
iaps,9140.jpg, 0.173, 0.211, 0.347, 0.275, 0.437, 0.328
iaps,9145.jpg, 0.404, 0.275, 0.281, 0.215, 0.536, 0.228
iaps,9150.jpg, 0.208, 0.302, 0.578, 0.263, 0.733, 0.234
iaps,9156.jpg, 0.363, 0.201, 0.349, 0.306, 0.453, 0.381
iaps,9160.jpg, 0.163, 0.243, 0.431, 0.271, 0.352, 0.265
iaps,9163.jpg, 0.359, 0.347, 0.225, 0.221, 0.545, 0.224
iaps,9171.jpg, 0.348, 0.244, 0.295, 0.248, 0.407, 0.231
iaps,9180.jpg, 0.161, 0.215, 0.259, 0.202, 0.688, 0.392
iaps,9181.jpg, 0.216, 0.318, 0.556, 0.299, 0.642, 0.288
iaps,9182.jpg, 0.239, 0.365, 0.564, 0.199, 0.575, 0.233
iaps,9183.jpg, 0.137, 0.120, 0.380, 0.162, 0.517, 0.254
iaps,9184.jpg, 0.226, 0.253, 0.063, 0.071, 0.744, 0.228
iaps,9185.jpg, 0.162, 0.243, 0.261, 0.177, 0.518, 0.251
iaps,9186.jpg, 0.108, 0.114, 0.386, 0.154, 0.686, 0.267
iaps,9187.jpg, 0.203, 0.223, 0.232, 0.213, 0.562, 0.273
iaps,9190.jpg, 0.112, 0.194, 0.285, 0.379, 0.304, 0.399
iaps,9210.jpg, 0.186, 0.091, 0.273, 0.193, 0.470, 0.282
iaps,9220.jpg, 0.201, 0.182, 0.544, 0.255, 0.379, 0.218
iaps,9230.jpg, 0.139, 0.250, 0.834, 0.182, 0.430, 0.309
iaps,9250.jpg, 0.192, 0.317, 0.625, 0.343, 0.416, 0.284
iaps,9252.jpg, 0.124, 0.240, 0.239, 0.326, 0.312, 0.384
iaps,9253.jpg, 0.128, 0.241, 0.744, 0.207, 0.643, 0.250
iaps,9254.jpg, 0.492, 0.383, 0.406, 0.321, 0.404, 0.307
iaps,9260.jpg, 0.349, 0.248, 0.316, 0.177, 0.380, 0.291
iaps,9265.jpg, 0.127, 0.088, 0.478, 0.150, 0.427, 0.173
iaps,9270.jpg, 0.183, 0.201, 0.467, 0.272, 0.502, 0.192
iaps,9280.jpg, 0.516, 0.190, 0.372, 0.191, 0.465, 0.225
iaps,9290.jpg, 0.169, 0.254, 0.288, 0.295, 0.583, 0.358
iaps,9291.jpg, 0.335, 0.366, 0.117, 0.140, 0.513, 0.208
iaps,9295.jpg, 0.374, 0.211, 0.262, 0.188, 0.445, 0.265
iaps,9300.jpg, 0.332, 0.225, 0.279, 0.287, 0.598, 0.345
iaps,9301.jpg, 0.155, 0.123, 0.281, 0.174, 0.547, 0.268
iaps,9302.jpg, 0.402, 0.330, 0.127, 0.185, 0.545, 0.141
iaps,9320.jpg, 0.564, 0.378, 0.238, 0.270, 0.558, 0.259
iaps,9321.jpg, 0.385, 0.223, 0.441, 0.206, 0.296, 0.320
iaps,9322.jpg, 0.281, 0.199, 0.253, 0.234, 0.583, 0.328
iaps,9325.jpg, 0.317, 0.189, 0.408, 0.220, 0.565, 0.265
iaps,9326.jpg, 0.342, 0.266, 0.290, 0.242, 0.431, 0.324
iaps,9330.jpg, 0.278, 0.259, 0.210, 0.269, 0.427, 0.314
iaps,9331.jpg, 0.111, 0.170, 0.191, 0.208, 0.180, 0.243
iaps,9332.jpg, 0.262, 0.239, 0.395, 0.301, 0.726, 0.213
iaps,9340.jpg, 0.164, 0.198, 0.461, 0.252, 0.436, 0.247
iaps,9341.jpg, 0.497, 0.238, 0.318, 0.214, 0.374, 0.254
iaps,9342.jpg, 0.178, 0.278, 0.389, 0.187, 0.434, 0.231
iaps,9360.jpg, 0.111, 0.100, 0.720, 0.214, 0.436, 0.216
iaps,9373.jpg, 0.405, 0.393, 0.338, 0.306, 0.442, 0.275
iaps,9390.jpg, 0.213, 0.286, 0.637, 0.271, 0.504, 0.306
iaps,9395.jpg, 0.230, 0.261, 0.295, 0.270, 0.563, 0.269
iaps,9400.jpg, 0.201, 0.290, 0.480, 0.400, 0.412, 0.282
iaps,9401.jpg, 0.366, 0.402, 0.448, 0.232, 0.552, 0.207
iaps,9402.jpg, 0.235, 0.321, 0.578, 0.271, 0.577, 0.389
iaps,9403.jpg, 0.454, 0.205, 0.194, 0.158, 0.518, 0.212
iaps,9404.jpg, 0.224, 0.204, 0.349, 0.225, 0.530, 0.351
iaps,9405.jpg, 0.243, 0.240, 0.326, 0.334, 0.717, 0.292
iaps,9409.jpg, 0.547, 0.289, 0.297, 0.228, 0.535, 0.298
iaps,9410.jpg, 0.202, 0.168, 0.300, 0.218, 0.600, 0.244
iaps,9411.jpg, 0.269, 0.402, 0.265, 0.302, 0.223, 0.281
iaps,9412.jpg, 0.356, 0.377, 0.270, 0.210, 0.490, 0.329
iaps,9413.jpg, 0.496, 0.261, 0.199, 0.168, 0.681, 0.288
iaps,9414.jpg, 0.198, 0.209, 0.410, 0.246, 0.454, 0.283
iaps,9415.jpg, 0.258, 0.316, 0.396, 0.326, 0.510, 0.399
iaps,9417.jpg, 0.571, 0.223, 0.346, 0.181, 0.330, 0.261
iaps,9419.jpg, 0.575, 0.343, 0.373, 0.226, 0.363, 0.277
iaps,9420.jpg, 0.179, 0.323, 0.446, 0.346, 0.500, 0.370
iaps,9421.jpg, 0.168, 0.246, 0.596, 0.359, 0.293, 0.268
iaps,9422.jpg, 0.545, 0.140, 0.383, 0.217, 0.672, 0.233
iaps,9423.jpg, 0.406, 0.423, 0.588, 0.247, 0.477, 0.354
iaps,9424.jpg, 0.454, 0.365, 0.299, 0.264, 0.542, 0.372
iaps,9425.jpg, 0.181, 0.298, 0.520, 0.366, 0.229, 0.275
iaps,9426.jpg, 0.326, 0.323, 0.385, 0.329, 0.236, 0.248
iaps,9427.jpg, 0.540, 0.284, 0.489, 0.306, 0.227, 0.283
iaps,9428.jpg, 0.330, 0.351, 0.307, 0.311, 0.270, 0.322
iaps,9429.jpg, 0.330, 0.343, 0.378, 0.302, 0.313, 0.271
iaps,9430.jpg, 0.073, 0.171, 0.214, 0.317, 0.258, 0.310
iaps,9432.jpg, 0.111, 0.193, 0.177, 0.279, 0.288, 0.388
iaps,9433.jpg, 0.408, 0.275, 0.275, 0.221, 0.614, 0.312
iaps,9435.jpg, 0.549, 0.304, 0.299, 0.202, 0.367, 0.329
iaps,9440.jpg, 0.373, 0.376, 0.280, 0.220, 0.481, 0.344
iaps,9445.jpg, 0.121, 0.080, 0.324, 0.176, 0.787, 0.217
iaps,9452.jpg, 0.132, 0.278, 0.405, 0.390, 0.341, 0.397
iaps,9468.jpg, 0.426, 0.292, 0.243, 0.228, 0.623, 0.297
iaps,9469.jpg, 0.209, 0.211, 0.193, 0.171, 0.633, 0.273
iaps,9470.jpg, 0.203, 0.320, 0.171, 0.278, 0.275, 0.354
iaps,9471.jpg, 0.434, 0.405, 0.315, 0.169, 0.285, 0.289
iaps,9472.jpg, 0.625, 0.059, 0.176, 0.080, 0.762, 0.291
iaps,9480.jpg, 0.089, 0.165, 0.338, 0.389, 0.145, 0.253
iaps,9490.jpg, 0.138, 0.115, 0.535, 0.344, 0.532, 0.296
iaps,9491.jpg, 0.272, 0.229, 0.535, 0.326, 0.383, 0.309
iaps,9495.jpg, 0.618, 0.260, 0.296, 0.198, 0.504, 0.319
iaps,9500.jpg, 0.317, 0.387, 0.376, 0.376, 0.248, 0.314
iaps,9520.jpg, 0.314, 0.276, 0.371, 0.320, 0.422, 0.260
iaps,9530.jpg, 0.427, 0.135, 0.629, 0.391, 0.275, 0.340
iaps,9560.jpg, 0.601, 0.146, 0.163, 0.130, 0.522, 0.144
iaps,9561.jpg, 0.077, 0.188, 0.393, 0.134, 0.569, 0.168
iaps,9570.jpg, 0.171, 0.114, 0.329, 0.169, 0.561, 0.194
iaps,9571.jpg, 0.627, 0.277, 0.332, 0.297, 0.541, 0.288
iaps,9582.jpg, 0.325, 0.346, 0.384, 0.270, 0.503, 0.309
iaps,9584.jpg, 0.271, 0.238, 0.434, 0.219, 0.611, 0.252
iaps,9590.jpg, 0.166, 0.230, 0.309, 0.306, 0.662, 0.316
iaps,9592.jpg, 0.352, 0.307, 0.304, 0.190, 0.640, 0.205
iaps,9594.jpg, 0.382, 0.334, 0.295, 0.197, 0.599, 0.258
iaps,9596.jpg, 0.286, 0.257, 0.393, 0.242, 0.518, 0.348
iaps,9599.jpg, 0.313, 0.246, 0.289, 0.241, 0.569, 0.305
iaps,9600.jpg, 0.493, 0.305, 0.275, 0.231, 0.381, 0.222
iaps,9610.jpg, 0.395, 0.310, 0.270, 0.282, 0.637, 0.311
iaps,9611.jpg, 0.332, 0.414, 0.282, 0.300, 0.210, 0.254
iaps,9620.jpg, 0.396, 0.376, 0.189, 0.238, 0.350, 0.337
iaps,9621.jpg, 0.674, 0.298, 0.340, 0.248, 0.473, 0.314
iaps,9622.jpg, 0.424, 0.223, 0.318, 0.281, 0.554, 0.170
iaps,9623.jpg, 0.134, 0.220, 0.555, 0.276, 0.521, 0.292
iaps,9630.jpg, 0.390, 0.291, 0.877, 0.133, 0.285, 0.347
iaps,9635.1.jpg, 0.538, 0.280, 0.359, 0.171, 0.361, 0.238
iaps,9635.2.jpg, 0.551, 0.253, 0.340, 0.154, 0.334, 0.219
iaps,9700.jpg, 0.067, 0.129, 0.247, 0.357, 0.200, 0.283
iaps,9800.jpg, 0.252, 0.310, 0.512, 0.310, 0.472, 0.359
iaps,9810.jpg, 0.171, 0.279, 0.327, 0.430, 0.237, 0.324
iaps,9830.jpg, 0.292, 0.354, 0.513, 0.407, 0.216, 0.260
iaps,9831.jpg, 0.290, 0.280, 0.215, 0.273, 0.439, 0.301
iaps,9832.jpg, 0.188, 0.240, 0.456, 0.313, 0.464, 0.306
iaps,9900.jpg, 0.345, 0.304, 0.292, 0.197, 0.383, 0.222
iaps,9901.jpg, 0.437, 0.294, 0.263, 0.208, 0.402, 0.307
iaps,9902.jpg, 0.356, 0.331, 0.502, 0.202, 0.420, 0.343
iaps,9903.jpg, 0.188, 0.271, 0.378, 0.250, 0.326, 0.270
iaps,9904.jpg, 0.425, 0.239, 0.225, 0.126, 0.299, 0.215
iaps,9905.jpg, 0.429, 0.296, 0.281, 0.271, 0.613, 0.318
iaps,9908.jpg, 0.376, 0.268, 0.120, 0.085, 0.413, 0.163
iaps,9909.jpg, 0.220, 0.204, 0.507, 0.312, 0.489, 0.214
iaps,9910.jpg, 0.153, 0.195, 0.272, 0.267, 0.379, 0.306
iaps,9911.jpg, 0.461, 0.265, 0.278, 0.217, 0.387, 0.245
iaps,9912.jpg, 0.346, 0.154, 0.391, 0.301, 0.422, 0.278
iaps,9913.jpg, 0.697, 0.264, 0.250, 0.137, 0.260, 0.205
iaps,9920.jpg, 0.435, 0.237, 0.237, 0.170, 0.399, 0.235
iaps,9921.jpg, 0.099, 0.141, 0.476, 0.332, 0.591, 0.337
iaps,9922.jpg, 0.475, 0.324, 0.187, 0.157, 0.499, 0.191
iaps,9925.jpg, 0.310, 0.417, 0.335, 0.144, 0.444, 0.170
iaps,9926.jpg, 0.210, 0.116, 0.167, 0.124, 0.545, 0.179
iaps,9927.jpg, 0.323, 0.290, 0.076, 0.111, 0.702, 0.233
iaps,9930.jpg, 0.438, 0.307, 0.166, 0.175, 0.648, 0.253
iaps,9940.jpg, 0.352, 0.307, 0.388, 0.271, 0.679, 0.272
iaps,9941.jpg, 0.118, 0.097, 0.514, 0.223, 0.385, 0.303
