"file","description","category","group","valence_mean","valence_sd","arousal_mean","arousal_sd","craving_mean","craving_sd","related_mean","related_sd","typicality_mean","typicality_sd","hue_mean","hue_sd","saturation_mean","saturation_sd","value_mean","value_sd"
"control_tools_hands40.jpg","Neutral Tools with Hands, simple","3","control",5.05263157894737,1.87004706448576,3.73684210526316,1.66139517217568,7.05263157894737,11.4914155602757,0,0,27.2105263157895,33.3176278790279,0.065,0.224,0.109,0.245,0.139,0.306
"control_tools_hands41.jpg","Neutral Tools with Hands, simple","3","control",5.3,1.68897352819616,3.9,2.10012530954452,13.35,25.1736600019691,0.05,0.223606797749979,25.1,31.6974181249747,0.037,0.094,0.16,0.258,0.134,0.244
"control_tools_hands42.jpg","Neutral Tools with Hands, simple","3","control",5.6,1.84676103375328,3.1,1.97084005599536,5.85,11.3845463122973,0,0,43.9,43.5284540937244,0.245,0.25,0.345,0.295,0.481,0.195
"control_tools_hands43.jpg","Neutral Tools with Hands, simple","3","control",5.26315789473684,1.52177182050536,3.15789473684211,1.86378223259219,5.57894736842105,11.4664524663796,0,0,16.3157894736842,26.6459349236092,0.233,0.354,0.307,0.215,0.497,0.279
"control_tools_hands44.jpg","Neutral Tools with Hands, simple","3","control",5,1.62221421130763,3.55,2.23547946111178,8.3,15.3145957212479,0,0,21.25,30.9496620166904,0.022,0.084,0.107,0.197,0.18,0.327
"control_tools_hands45.jpg","Neutral Tools with Hands, simple","3","control",5.66666666666667,2.19625349442288,3.16666666666667,2.09340701756168,8.66666666666667,21.9839513656453,0,0,36.0555555555556,37.9759555852697,0.367,0.259,0.157,0.174,0.699,0.194
"control_tools_hands46.jpg","Neutral Tools with Hands, simple","3","control",5.21052631578947,1.71849247140306,3.26315789473684,1.79016154650163,5,5.76387215526353,0.0526315789473684,0.229415733870562,31.7894736842105,29.3552549665651,0.206,0.322,0.509,0.274,0.69,0.203
"control_tools_hands47.jpg","Neutral Tools with Hands, simple","3","control",5.33333333333333,1.94028500029066,3.33333333333333,1.94028500029066,5.83333333333333,11.8334023748331,0,0,28.6666666666667,33.1502816951921,0.017,0.085,0.068,0.169,0.107,0.263
"control_tools_hands48.jpg","Neutral Tools with Hands, simple","3","control",5.21052631578947,1.71849247140306,3.36842105263158,1.89181060585383,9.52631578947368,15.7281362216204,0,0,27.7368421052632,33.6598047549351,0.018,0.075,0.097,0.194,0.144,0.289
"control_tools_hands49.jpg","Neutral Tools with Hands, complex","4","control",5.2,1.39924791829115,3.75,2.40339671911936,8.8,16.2694418110181,0.05,0.223606797749979,16.05,25.4609608286056,0.244,0.244,0.359,0.169,0.226,0.206
"control_tools_hands50.jpg","Neutral Tools with Hands, complex","4","control",5.65,1.56524758424985,3.3,1.83819133074363,5.65,11.5952576512987,0,0,26.55,35.0029697988162,0.297,0.245,0.159,0.108,0.489,0.298
